Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2009,1,12/29/2008,1/4/2009,,1175,175,,13,,0,188,6,36,2,44,232,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,2,1/5/2009,1/11/2009,,1305,215,,31,,1,247,8,53,0,61,308,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,3,1/12/2009,1/18/2009,,1231,271,,35,,4,310,10,27,1,38,348,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,4,1/19/2009,1/25/2009,,1063,224,,36,,2,262,5,23,1,29,291,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,5,1/26/2009,2/1/2009,,455,180,,40,,0,220,6,18,0,24,244,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,6,2/2/2009,2/8/2009,,957,262,,48,,1,311,7,28,2,37,348,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,7,2/9/2009,2/15/2009,,1120,342,,101,,2,445,9,19,0,28,473,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,8,2/16/2009,2/22/2009,,1086,355,,68,,5,428,11,33,0,44,472,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,9,2/23/2009,3/1/2009,,1091,258,,86,,6,350,13,46,17,76,426,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,10,3/2/2009,3/8/2009,,1091,247,,80,,0,327,13,49,17,79,406,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,11,3/9/2009,3/15/2009,,1045,171,,47,,4,222,4,103,8,115,337,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,12,3/16/2009,3/22/2009,,1085,117,,50,,3,170,11,103,10,124,294,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,13,3/23/2009,3/29/2009,,658,64,,33,,5,102,4,66,0,70,172,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,14,3/30/2009,4/5/2009,,956,62,,39,,3,104,6,92,11,109,213,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,15,4/6/2009,4/12/2009,,715,49,,25,,0,74,7,74,3,84,158,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,16,4/13/2009,4/19/2009,,866,48,,16,,0,64,4,98,18,120,184,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,17,4/20/2009,4/26/2009,,755,27,,22,,1,50,7,82,4,93,143,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,18,4/27/2009,5/3/2009,,714,31,1,23,,2,57,3,105,46,154,211,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,19,5/4/2009,5/10/2009,,861,28,,29,,4,61,6,83,16,105,166,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,20,5/11/2009,5/17/2009,,774,15,2,41,,0,58,9,59,33,101,159,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,21,5/18/2009,5/24/2009,,525,17,4,41,,1,63,1,57,43,101,164,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,22,5/25/2009,5/31/2009,,59,8,16,38,,4,66,1,14,1,16,82,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,23,6/1/2009,6/7/2009,,,6,15,46,,7,74,0,5,0,5,79,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,24,6/8/2009,6/14/2009,,,7,29,60,,4,100,1,11,0,12,112,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2009,25,6/15/2009,6/21/2009,2957,2696,50,220,99,0,16,385,6,44,42,92,477,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2009,26,6/22/2009,6/28/2009,3236,2900,68,378,235,0,34,715,6,26,28,60,775,,Regional Outbreak
