"AccountId","CreditDebitIndicator","Status","BookingDateTime","TransactionInformation","Amount.Amount","Amount.Currency","ProprietaryBankTransactionCode.Code","Balance.CreditDebitIndicator","Balance.Type","Balance.Amount.Amount","Balance.Amount.Currency"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-01-01T00:00:00.000Z","other_debit","768.55","GBP","TFR","Credit","Information","3007.68","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-01-01T00:00:00.000Z","other_credit","17683.65","GBP","TFR","Credit","Information","20691.33","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-01-01T00:00:00.000Z","other_debit","1976.79","GBP","TFR","Credit","Information","18714.54","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-01-11T00:00:00.000Z","household","2316.59","GBP","TFR","Credit","Information","16397.95","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-01-21T00:00:00.000Z","other_credit","4653.36","GBP","TFR","Credit","Information","21051.31","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-01-24T00:00:00.000Z","other_debit","17230.27","GBP","TFR","Credit","Information","3821.04","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-02-01T00:00:00.000Z","other_debit","1254.04","GBP","TFR","Credit","Information","2567.00","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-02-01T00:00:00.000Z","other_credit","12453.63","GBP","TFR","Credit","Information","15020.63","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-02-06T00:00:00.000Z","other_credit","4071.30","GBP","TFR","Credit","Information","19091.93","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-02-09T00:00:00.000Z","household","3133.24","GBP","TFR","Credit","Information","15958.69","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-02-14T00:00:00.000Z","other_credit","3896.89","GBP","TFR","Credit","Information","19855.58","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-02-14T00:00:00.000Z","other_credit","468.72","GBP","TFR","Credit","Information","20324.30","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-02-16T00:00:00.000Z","other_debit","4349.55","GBP","TFR","Credit","Information","15974.75","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-02-28T00:00:00.000Z","payment_for_statement","26.02","GBP","TFR","Credit","Information","15948.73","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-02-28T00:00:00.000Z","interest_credited","69.55","GBP","TFR","Credit","Information","16018.28","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-01T00:00:00.000Z","other_debit","1435.14","GBP","TFR","Credit","Information","14583.14","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-01T00:00:00.000Z","other_debit","2655.54","GBP","TFR","Credit","Information","11927.60","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-01T00:00:00.000Z","other_debit","392.15","GBP","TFR","Credit","Information","11535.45","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-09T00:00:00.000Z","other_debit","2796.20","GBP","TFR","Credit","Information","8739.25","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-03-14T00:00:00.000Z","other_credit","8473.26","GBP","TFR","Credit","Information","17212.51","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-16T00:00:00.000Z","other_debit","928.62","GBP","TFR","Credit","Information","16283.89","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-03-18T00:00:00.000Z","other_debit","93.18","GBP","TFR","Credit","Information","16190.71","GBP"
